id,symbol,date,open,high,low,close
1,@KC,2018-01-05,138.85,144.20,138.85,141.30
2,@KC,2018-01-12,140.45,140.50,133.75,135.10
3,@KC,2018-01-19,134.65,136.75,132.45,134.10
4,@KC,2018-01-26,134.50,138.35,133.35,138.00
5,@KC,2018-02-02,138.40,138.70,132.70,133.25
6,@KC,2018-02-09,133.25,137.25,131.95,134.70
7,@KC,2018-02-16,134.40,136.60,131.10,131.35
8,@KC,2018-02-23,131.20,133.70,129.45,131.90
9,@KC,2018-03-02,132.45,135.10,131.20,133.10
10,@KC,2018-03-09,132.55,133.20,130.50,131.05
11,@KC,2018-03-16,130.90,133.05,127.80,128.95
12,@KC,2018-03-23,129.05,131.65,127.40,128.10
13,@KC,2018-03-30,128.10,130.65,127.55,129.05
14,@KC,2018-04-06,129.60,130.00,126.85,128.35
15,@KC,2018-04-13,128.75,130.35,127.55,128.45
16,@KC,2018-04-20,128.50,128.50,124.25,126.65
17,@KC,2018-04-27,127.05,131.45,126.50,131.35
18,@KC,2018-05-04,131.15,134.90,130.20,131.55
19,@KC,2018-05-11,131.55,131.80,127.30,128.35
20,@KC,2018-05-18,128.00,128.20,125.30,126.95
21,@KC,2018-05-25,126.95,130.40,126.80,129.35
22,@KC,2018-06-01,128.75,133.90,128.30,131.70
23,@KC,2018-06-08,131.50,132.10,124.60,126.20
24,@KC,2018-06-15,126.20,126.90,123.55,124.25
25,@KC,2018-06-22,124.70,124.80,121.65,123.65
26,@KC,2018-06-29,123.65,126.10,121.20,121.80
27,@KC,2018-07-06,121.60,121.70,113.60,120.80
28,@KC,2018-07-13,121.05,122.45,115.65,116.60
29,@KC,2018-07-20,116.60,117.95,114.00,117.35
30,@KC,2018-07-27,117.75,119.90,115.40,117.15
31,@KC,2018-08-03,117.20,120.10,112.70,114.45
32,@KC,2018-08-10,114.35,116.95,113.10,113.70
33,@KC,2018-08-17,113.55,113.95,107.50,108.35
34,@KC,2018-08-24,108.60,109.05,103.00,108.35
35,@KC,2018-08-31,108.70,110.55,104.25,105.45
36,@KC,2018-09-07,104.85,107.80,102.30,106.10
37,@KC,2018-09-14,106.10,106.95,103.15,103.35
38,@KC,2018-09-21,103.35,104.40,98.75,103.55
39,@KC,2018-09-28,103.35,107.10,100.20,106.10
40,@KC,2018-10-05,105.80,114.45,104.75,112.60
41,@KC,2018-10-12,114.25,120.45,113.40,120.20
42,@KC,2018-10-19,120.55,129.15,120.45,125.75
43,@KC,2018-10-26,125.55,128.00,120.00,123.30
44,@KC,2018-11-02,123.75,126.45,115.00,123.70
45,@KC,2018-11-09,122.90,122.95,116.75,117.50
46,@KC,2018-11-16,117.00,117.20,111.20,116.30
47,@KC,2018-11-23,116.00,117.00,110.30,110.95
48,@KC,2018-11-30,110.95,115.15,107.25,107.55
49,@KC,2018-12-07,108.50,110.85,103.85,104.10
50,@KC,2018-12-14,104.15,105.30,101.75,102.25
51,@KC,2018-12-21,102.30,103.30,98.60,99.70
52,@KC,2018-12-28,99.70,104.00,99.65,100.95
53,@KC,2019-01-04,106.45,108.75,104.80,107.10
54,@KC,2019-01-11,107.00,112.35,106.65,109.35
55,@KC,2019-01-18,108.90,111.70,105.90,110.45
56,@KC,2019-01-25,110.40,112.65,107.80,112.30
57,@KC,2019-02-01,111.15,112.50,107.05,109.20
58,@KC,2019-02-08,109.30,111.85,107.75,108.10
59,@KC,2019-02-15,108.05,108.25,103.10,104.15
60,@KC,2019-02-22,103.95,104.30,101.55,102.50
61,@KC,2019-03-01,102.50,103.30,98.85,102.70
62,@KC,2019-03-08,103.15,103.45,99.20,101.00
63,@KC,2019-03-15,100.40,101.20,97.15,100.30
64,@KC,2019-03-22,99.50,100.45,96.15,96.40
65,@KC,2019-03-29,96.15,98.90,95.10,97.00
66,@KC,2019-04-05,96.55,99.45,93.75,95.70
67,@KC,2019-04-12,95.70,97.35,91.75,92.95
68,@KC,2019-04-19,92.55,94.20,89.00,92.90
69,@KC,2019-04-26,92.55,95.25,91.30,94.10
70,@KC,2019-05-03,99.65,101.05,96.45,96.55
71,@KC,2019-05-10,96.20,97.35,93.55,96.75
72,@KC,2019-05-17,96.20,98.50,94.40,94.95
73,@KC,2019-05-24,94.95,100.95,94.45,99.25
74,@KC,2019-05-31,99.15,111.25,98.60,110.55
75,@KC,2019-06-07,110.80,112.10,103.85,106.90
76,@KC,2019-06-14,106.10,106.70,101.35,101.45
77,@KC,2019-06-21,101.35,106.15,99.65,104.05
78,@KC,2019-06-28,103.40,113.90,103.00,112.85
79,@KC,2019-07-05,115.15,119.05,112.45,114.50
80,@KC,2019-07-12,116.00,118.05,108.70,110.05
81,@KC,2019-07-19,109.85,114.05,107.85,110.70
82,@KC,2019-07-26,110.10,111.40,102.45,103.15
83,@KC,2019-08-02,103.15,105.85,99.80,101.55
84,@KC,2019-08-09,101.70,102.30,97.70,100.70
85,@KC,2019-08-16,100.50,100.60,96.10,96.35
86,@KC,2019-08-23,96.40,97.85,93.40,96.05
87,@KC,2019-08-30,95.55,98.50,94.75,96.85
88,@KC,2019-09-06,96.00,97.45,94.20,97.05
89,@KC,2019-09-13,97.00,104.70,95.30,102.75
90,@KC,2019-09-20,102.30,104.95,98.05,98.40
91,@KC,2019-09-27,98.50,102.90,97.25,100.90
92,@KC,2019-10-04,100.50,102.90,98.50,99.00
93,@KC,2019-10-11,98.90,99.15,92.20,93.70
94,@KC,2019-10-18,93.50,96.20,92.25,95.70
95,@KC,2019-10-25,96.05,99.85,94.50,99.45
