id,symbol,date,open,high,low,close
1,@SB,2018-01-05,16.36,16.65,16.13,16.36
2,@SB,2018-01-12,16.27,16.33,15.24,15.46
3,@SB,2018-01-19,15.38,15.39,14.30,14.53
4,@SB,2018-01-26,14.59,14.75,14.32,14.64
5,@SB,2018-02-02,14.73,15.03,14.45,14.91
6,@SB,2018-02-09,14.94,15.32,14.56,14.95
7,@SB,2018-02-16,15.01,15.12,14.58,14.66
8,@SB,2018-02-23,14.78,15.02,14.58,14.85
9,@SB,2018-03-02,14.82,15.19,14.21,14.81
10,@SB,2018-03-09,14.79,15.04,14.14,14.23
11,@SB,2018-03-16,14.25,14.35,13.92,14.04
12,@SB,2018-03-23,14.04,14.30,13.69,13.96
13,@SB,2018-03-30,13.95,14.16,13.57,13.74
14,@SB,2018-04-06,13.72,13.94,13.61,13.73
15,@SB,2018-04-13,13.73,13.80,13.32,13.47
16,@SB,2018-04-20,13.51,13.65,12.96,13.03
17,@SB,2018-04-27,13.06,13.07,12.13,12.72
18,@SB,2018-05-04,12.80,13.09,12.49,12.71
19,@SB,2018-05-11,12.76,12.79,12.32,12.42
20,@SB,2018-05-18,12.42,12.95,12.36,12.86
21,@SB,2018-05-25,12.90,13.82,12.87,13.66
22,@SB,2018-06-01,13.70,14.17,13.44,13.72
23,@SB,2018-06-08,13.70,13.74,12.80,13.45
24,@SB,2018-06-15,13.52,13.76,13.13,13.22
25,@SB,2018-06-22,13.25,13.39,12.90,13.25
26,@SB,2018-06-29,13.25,13.49,12.86,13.09
27,@SB,2018-07-06,13.05,13.08,12.08,12.35
28,@SB,2018-07-13,12.37,12.45,11.75,11.80
29,@SB,2018-07-20,11.77,12.23,11.70,11.96
30,@SB,2018-07-27,12.02,12.19,11.67,11.72
31,@SB,2018-08-03,11.79,11.89,11.21,11.69
32,@SB,2018-08-10,11.77,11.97,11.27,11.38
33,@SB,2018-08-17,11.39,11.39,10.95,11.02
34,@SB,2018-08-24,11.06,11.32,10.75,11.07
35,@SB,2018-08-31,11.15,11.57,11.06,11.44
36,@SB,2018-09-07,11.48,11.87,11.33,11.85
37,@SB,2018-09-14,11.89,12.64,11.84,12.00
38,@SB,2018-09-21,11.93,11.96,11.27,11.68
39,@SB,2018-09-28,11.68,11.70,10.80,11.20
40,@SB,2018-10-05,11.17,12.70,11.03,12.63
41,@SB,2018-10-12,12.71,13.39,12.62,13.07
42,@SB,2018-10-19,13.10,13.95,13.04,13.89
43,@SB,2018-10-26,13.85,14.24,13.68,13.84
44,@SB,2018-11-02,13.84,14.05,13.08,13.44
45,@SB,2018-11-09,13.44,13.44,12.65,12.73
46,@SB,2018-11-16,12.81,13.16,12.53,12.69
47,@SB,2018-11-23,12.69,12.98,12.33,12.47
48,@SB,2018-11-30,12.51,13.21,12.32,12.84
49,@SB,2018-12-07,12.95,13.07,12.49,12.87
50,@SB,2018-12-14,12.83,12.90,12.43,12.65
51,@SB,2018-12-21,12.65,12.88,12.23,12.34
52,@SB,2018-12-28,12.34,12.51,12.18,12.39
53,@SB,2019-01-04,12.56,12.58,11.86,12.10
54,@SB,2019-01-11,12.12,13.11,12.11,12.95
55,@SB,2019-01-18,12.92,13.44,12.80,13.20
56,@SB,2019-01-25,13.25,13.25,12.54,12.61
57,@SB,2019-02-01,12.64,13.10,12.63,12.77
58,@SB,2019-02-08,12.81,13.10,12.68,12.88
59,@SB,2019-02-15,12.89,13.42,12.69,13.31
60,@SB,2019-02-22,13.31,13.67,13.31,13.53
61,@SB,2019-03-01,13.53,13.59,12.84,12.85
62,@SB,2019-03-08,12.85,12.96,12.31,12.41
63,@SB,2019-03-15,12.44,12.92,12.40,12.75
64,@SB,2019-03-22,12.83,13.10,12.66,12.80
65,@SB,2019-03-29,12.82,12.96,12.56,12.76
66,@SB,2019-04-05,12.76,13.07,12.52,12.99
67,@SB,2019-04-12,12.95,13.06,12.72,13.00
68,@SB,2019-04-19,12.97,13.02,12.54,12.99
69,@SB,2019-04-26,12.95,13.03,12.52,12.65
70,@SB,2019-05-03,12.88,13.00,12.22,12.26
71,@SB,2019-05-10,12.20,12.40,11.89,11.97
72,@SB,2019-05-17,11.98,12.31,11.68,11.80
73,@SB,2019-05-24,11.86,12.20,11.61,11.91
74,@SB,2019-05-31,11.98,12.38,11.85,12.35
75,@SB,2019-06-07,12.38,12.78,12.20,12.75
76,@SB,2019-06-14,12.74,13.03,12.52,13.00
77,@SB,2019-06-21,13.00,13.02,12.42,12.48
78,@SB,2019-06-28,12.42,12.84,12.29,12.62
79,@SB,2019-07-05,12.71,12.82,12.25,12.36
80,@SB,2019-07-12,12.38,12.62,12.26,12.30
81,@SB,2019-07-19,12.30,12.32,11.53,11.59
82,@SB,2019-07-26,11.61,12.23,11.39,12.02
83,@SB,2019-08-02,12.04,12.30,11.89,12.02
84,@SB,2019-08-09,11.97,12.04,11.27,11.86
85,@SB,2019-08-16,11.89,11.96,11.48,11.64
86,@SB,2019-08-23,11.60,11.65,11.37,11.47
87,@SB,2019-08-30,11.45,11.61,11.05,11.14
88,@SB,2019-09-06,11.20,11.40,10.86,11.02
89,@SB,2019-09-13,12.03,12.08,11.66,11.87
90,@SB,2019-09-20,12.06,12.32,11.86,12.07
91,@SB,2019-09-27,12.10,12.72,12.10,12.62
92,@SB,2019-10-04,12.62,12.93,12.57,12.76
93,@SB,2019-10-11,12.71,12.71,12.22,12.41
94,@SB,2019-10-18,12.44,12.62,12.20,12.32
95,@SB,2019-10-25,12.34,12.41,12.05,12.35
